ticker,name
NDX.GI,纳斯达克指数
000300.SH,沪深300
SPX.GI,标普500南方
000913.SH,医药
399814.SZ,农业
HSI.HI,恒生
DJSOEP.GI,道琼斯美国石油
HSTECH.HI,恒生科技基金
NDXTMC.GI,纳指科技
GDAXI.GI,德国
CSPSADRP.CI,标普A股红利
830009.XI,富时中国A50
N225.GI,日经225
399975.SZ,证券
601688.SH,华泰证券
HSSCHKY.HI,港股红利博时
HXC.GI,纳斯达克中国金龙
HSHDYI.HI,GX恒生高股息率
FCHI.GI,法国CAC40
931787CNY00.CSI,港股创新药
H30533.CSI,中概互联网
HSIII.HI,恒生互联网
931791.CSI,中韩半导体
DJI.GI,道琼斯
750108.MI,美国50
SOX.GI,费城半导体
122489.MI,MSCI金龙
HSHKBIO.HI,恒生生物科技
HSHCI.HI,恒生医疗指数
RUI.GI,罗素1000
SPCLLHCP.SPI,标普中国A50红利低波
707918.MI,MSCI中国A股低波(美元)
746059.MI,MSCI中国A50互联
718711L.MI,MSCI中国A股人民币
716567.MI,MSCI中国A股国际(美元)
704843.MI,MSCI中国A股国际
133333.CSI,MSCI中国A股
HSCAIT.HI,恒生A股龙头
HSSCHI.HI,恒生医疗
DJCN88.GI,道中88
707717L.MI,MSCI中国A股质量
HSSSHID.HI,恒生创新药50
302400.MI,MSCI中国(美元)
HSSSCHD.HI,恒生高股息
HSSI.HI,恒生小型股
CES300.CSI,中华沪深港300
HSCGSI.HI,恒生消费
HSSCT.HI,港股科技30
HSMI.HI,恒生中型股
HSSCNE.HI,恒生新经济
HSHYLV.HI,恒生红利低波
CESFHY.CSI,中华高息
GPCCH003.FI,富时中国央企
HSCSOE.HI,恒生央企
HSMCHYI.HI,恒生红利
HSSCSOY.HI,港股通央企红利
HSHK35.HI,恒生香港35
HSBBAC.HI,恒生大湾区
HSCEI.HI,恒生中国企业
HSINH.HI,恒生NTR
SPHCMSHP.SPI,标普香港中小盘
CES100.CSI,港股通100
SPXEWTR.SPI,标普500等权
SPTR500N.SPI,标普500
S5INFT.SPI,标普500信息科技
HSISUI.HI,恒指ESG增强精选
HSIESGS.HI,恒指ESG
HSFML25.HI,恒生香港25
990001.CSI,中华半导体
716567.CSI,MSCI中国A国际实时
930604.CSI,中概互联
h30533.CSI,中概互联网
932307.CSI,中国互联网人民币中间价
399812.SZ,养老产业
h30344.CSI,健康产业
000815.CSI,细分食品
000814.SH,细分医药
931238.CSI,SSH黄金股票
h11057.CSI,石化产业
000805.CSI,A股资源
000961.CSI,中证上游
000811.CSI,细分有色
399804.SZ,中证体育
931239.CSI,港股通汽车
000901.SH,小康指数
930614.CSI,环保50
399807.SZ,高铁产业
000827.SH,中证环保
000812.CSI,细分机械
930997.CSI,新能源车
931071.CSI,人工智能
h11054.CSI,装备产业
931470.CSI,SHS云计算
000813.CSI,细分化工
931151.CSI,光伏产业
000964.CSI,中证新兴
931247.CSI,中证信创
931406.CSI,5G 50
931152.CSI,CS创新药
930598.CSI,稀土产业
h30372.CSI,中证安全
000998.CSI,中证TMT
930902.CSI,中证数据
931409.CSI,SHS创新药
931865.CSI,中证半导
h30007.CSI,芯片产业
000042.SH,上证央企
000056.SH,上证国企
399974.SZ,国企改革
931526.CSI,企业核心竞争力50
931802.CSI,中证龙头
h11153.CSI,港股国企
931024.CSI,港股非银
931027.CSI,港股通大消费
931454.CSI,港股消费易方达
931573.CSI,港股科技50
931573CNY00.CSI,港股通科技CNY
931637.CSI,港股通互联网
h30588.CSI,中证证保
h30535.CSI,互联网
h30531.CSI,精工制造
h30202.CSI,软件指数
h30178.CSI,医疗保健
h30035.CSI,300非银
h30015.CSI,中证800汽车
932066.CSI,半导体行业精选
931892.CSI,有色矿业
931733.CSI,绿色能源
931484.CSI,CS医药创新
931461.CSI,电子50
931412.CSI,证券公司30
931380.CSI,科技50
931248.CSI,油气资源
931160.CSI,通信设备
931144.CSI,通信技术
931140.CSI,医药50
931139.CSI,CS消费50
931079.CSI,5G通信
931068.CSI,消费龙头
931009.CSI,建筑材料
931008.CSI,汽车指数
930791.CSI,CS医药TI
930653.CSI,CS食品饮
930648.CSI,CS智消费
930632.CSI,CS稀金属
930608.CSI,中证基建
930606.CSI,中证钢铁
930599.CSI,中证高装
399989.SZ,中证医疗
399971.SZ,中证传媒
399967.SZ,中证军工
399966.SZ,中证800证保
000992.SH,金融地产
000978.CSI,医药100
000934.SH,800金地
000914.SH,300金融
000806.CSI,消费服务
930928.CSI,CR新动能
399959.SZ,军工指数
399809.SZ,保险主题
h30263.CSI,腾讯济安
h30124.CSI,安中动态
930927.CSI,CR基石
931574CNY00.CSI,香港科技
930709.CSI,香港证券
930792.CSI,HK银行(HKD)
930796.CSI,中概互联
931456.CSI,教育
930839.CSI,港股红利
930915.CSI,港股通红利
930931.CSI,港股通50
930957.CSI,港股通100
930965.CSI,港股通医药
931233.CSI,港股央企红利
931250.CSI,港股创新药50
931722.CSI,港股央企红利50
931790.CSI,中韩半导体
987008.CNI,港股通科技30
987016.CNI,港股红利低波
987018.CNI,港股通创新药
h11146.CSI,港股通金融
h30106.CSI,港股金融
h50069CNY10.CSI,港股通
HSIDI.HI,恒生创新药
HSISC.HI,恒生港股通
TPX.GI,日本东证指数
